Instance,Database,Schema,Table,Column,TableRowCount,Classification Scope,EAP#23-Masking,HIPAA Status,Information Type,Masking Data Set,Owner,Primary Jurisdiction,Retention Policy,Sensitivity,Treatment Intent,Applicable Regulation: CaCPA,Applicable Regulation: DPA,Applicable Regulation: GDPR,Applicable Regulation: HIPAA,Applicable Regulation: PCI,Applicable Regulation: SOX,Where Used: Pricing,Where Used: Promotions,Where Used: System-DBA,Where Used: WebOrders,Regulatory Notes,Reason for de-scoping,MS_Description
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,CountryRegion,Name,476,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Country or region name.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,EmailAddress,BusinessEntityID,39944,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key. Person associated with this email address.  Foreign key to Person.BusinessEntityID
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,EmailAddress,EmailAddress,39944,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,E-mail address for the person.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,EmailAddress,EmailAddressID,39944,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key. ID of this email address.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,EmailAddress,ModifiedDate,39944,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,EmailAddress,rowguid,39944,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Password,BusinessEntityID,19972,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Password,ModifiedDate,19972,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Password,PasswordHash,19972,,,,Credentials,,,,,Confidential,,0,0,0,0,0,0,0,0,0,0,,,Password for the e-mail account.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Password,PasswordSalt,19972,,,,Credentials,,,,,Confidential,,0,0,0,0,0,0,0,0,0,0,,,Random value concatenated with the password string before the password is hashed.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Password,rowguid,19972,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
